id,gsi,academic,personal
4729,1.568627451,2.7,1.75
4731,1,0.4,0.75
4733,1.596153846,2.6,2.75
4734,0.283018868,0.6,1.125
4737,0.188679245,0.9,1
4738,1.192307692,0.6,1.625
4739,0.660377358,2.1,0.5
4740,1.673076923,3.2,1.875
4742,0.113207547,0.4,0.5
4743,2.886792453,2.7,4
4745,0.215686275,0.9,1
4746,1.849056604,1.5,3
4747,0.622641509,1.2,1.5
4750,0.849056604,0.7,0.625
4751,0.283018868,1.1,1.25
4752,0.433962264,0.9,0.125
4753,1.884615385,1.6,2.625
4754,1.132075472,2.6,1.875
4755,0.471698113,0.6,0.875
4756,2.641509434,2.7,3.625
4757,0.076923077,1.1,0.25
4758,0.941176471,1.9,2.25
4759,0.056603774,1.3,0.875
4760,0.622641509,1.3,0.875
4761,1.150943396,0.8,1.25
4762,1.264150943,2.2,0.875
4763,0.788461538,2.2,1.625
4764,0.641509434,1.3,1.375
4766,0.679245283,0.3,0.875
4767,1.377358491,2.5,1.75
4768,0.283018868,0.7,1
4769,0.980769231,1.4,1.75
4770,0.924528302,2.4,1.875
4771,0.58490566,1.6,2.125
4772,1.230769231,2.1,2.125
4774,2.196078431,3.1,2.75
4775,0.25,0.7,1.25
4776,0.301886792,0.6,1.25
4778,1.730769231,3.4,2.875
4782,2.245283019,1.7,2.25
4783,1.471698113,1.9,1.75
4785,2.211538462,1.8,2.875
4787,0.58490566,2.5,0.5
4789,0.962264151,2.2,1.125
4794,1.094339623,1.2,2
4795,1.245283019,1.7,2.125
4796,0.58490566,2.1,1
4797,1.962264151,2,2.5
4798,0.433962264,2.1,1.875
4823,0.226415094,0.2,0.25
4856,0.392156863,1.7,1.5
4857,0.921568627,1.9,1.5
4858,0.754716981,2.2,0.875
4861,0.811320755,1.3,1.25
4862,0.679245283,1.9,0.75
